test_accuracy,test_score,test_average_loss,test_average_time
0.625,0.6865079365079365,0.02150275744497776,0.00031989067792892456
0.625,0.6388888888888888,0.02210291661322117,0.0003196299076080322
0.5625,0.626984126984127,0.034862618893384933,0.00032480061054229736
0.6875,0.6587301587301587,0.02494939975440502,0.000319160521030426
0.5,0.5912698412698413,0.024944093078374863,0.0003197193145751953
0.625,0.6507936507936508,0.02119923196732998,0.00031960010528564453
0.5,0.5515873015873016,0.026749426499009132,0.0003211274743080139
0.65625,0.7182539682539683,0.02243969216942787,0.0003236904740333557
0.5,0.5793650793650794,0.02368828095495701,0.0003287196159362793
0.5,0.5793650793650794,0.02239842340350151,0.00032022595405578613
0.59375,0.6904761904761905,0.021831167861819267,0.0003207102417945862
0.5625,0.6984126984126984,0.02124246209859848,0.0003253445029258728
0.65625,0.8015873015873017,0.01973714679479599,0.0003195330500602722
0.65625,0.6944444444444444,0.02062007039785385,0.0003269016742706299
0.75,0.746031746031746,0.019784975796937943,0.00032053887844085693
0.59375,0.6428571428571428,0.022494453936815262,0.00033227354288101196
0.5625,0.7261904761904762,0.021400094032287598,0.00032667815685272217
0.71875,0.6785714285714286,0.035690706223249435,0.0003363862633705139
0.5,0.5833333333333334,0.025215566158294678,0.00032252073287963867
0.6875,0.7539682539682541,0.02038373239338398,0.0003198161721229553
0.5806451612903226,0.8067226890756303,0.01992613846255887,0.00033254008139333417
0.5806451612903226,0.7605042016806722,0.021058617099638906,0.00033553954093686994
0.6451612903225806,0.726890756302521,0.022860550111339938,0.0003345166483233052
0.5483870967741935,0.7647058823529411,0.022845402840645082,0.00034243060696509576
0.5483870967741935,0.7478991596638656,0.02291265610725649,0.0003342167023689516
0.6129032258064516,0.7436974789915966,0.02057666547836796,0.00033510884931010584
0.7096774193548387,0.8445378151260504,0.017707028696613926,0.0003405001855665638
0.6774193548387096,0.8067226890756303,0.020323747588742162,0.0003318555893436555
0.6451612903225806,0.7478991596638656,0.019935104154771375,0.00034051556741037677
0.5483870967741935,0.6890756302521008,0.022729592938576976,0.000343307372062437
0.8064516129032258,0.8290598290598291,0.018386990793289676,0.0003354011043425529
0.7096774193548387,0.735042735042735,0.021300884985154676,0.00033197095317225305
0.7419354838709677,0.7478632478632479,0.02082226930126067,0.0003330323003953503
0.6774193548387096,0.7435897435897436,0.019601779599343578,0.00033172484367124494
0.6129032258064516,0.7521367521367522,0.021109142611103672,0.0003321478443761026
0.7096774193548387,0.7692307692307692,0.021021623765268633,0.000337469962335402
0.7419354838709677,0.782051282051282,0.0190846650831161,0.00035228267792732483
0.6774193548387096,0.7692307692307692,0.02206224395382789,0.00033283233642578125
0.8387096774193549,0.829059829059829,0.0188826322555542,0.0003318248256560295
0.7096774193548387,0.7393162393162394,0.020263743016027635,0.0003330630640829763
0.5483870967741935,0.7350427350427351,0.021341835298845844,0.00035918912579936365
0.5483870967741935,0.6581196581196581,0.022449651072102207,0.000341500005414409
0.6774193548387096,0.811965811965812,0.01934680438810779,0.00033968494784447455
0.6129032258064516,0.811965811965812,0.019952239528779062,0.0003378775811964466
0.5806451612903226,0.6153846153846154,0.02251941350198561,0.0003323631901894846
0.7419354838709677,0.764957264957265,0.021938783507193287,0.0003329246274886593
0.5806451612903226,0.5940170940170941,0.029241061979724516,0.0003452916299143145
0.5806451612903226,0.7478632478632479,0.02226819722883163,0.00033355528308499243
0.6129032258064516,0.7435897435897437,0.02178821063810779,0.0003330399913172568
0.6451612903225806,0.6923076923076923,0.02223034058847735,0.0003416999693839781
0.7096774193548387,0.726890756302521,0.021284387957665227,0.00035266722402264996
