test_accuracy,test_score,test_average_loss,test_average_time
0.875,0.93,0.013563159108161926,0.009583425521850587
0.8,0.9324999999999999,0.01608072817325592,0.0058693945407867435
0.925,0.995,0.0034564144909381865,0.006198757886886596
0.95,0.995,0.007204916328191757,0.005572807788848877
0.925,0.98,0.013306781649589539,0.005786818265914917
0.475,0.6325000000000001,0.01710856407880783,0.006969362497329712
0.975,1.0,0.002495333179831505,0.008304381370544433
0.9,0.99,0.015203551948070526,0.0058075904846191405
1.0,1.0,7.439903129125014e-06,0.005766427516937256
0.525,0.49,0.02103125602006912,0.005074626207351685
0.975,1.0,0.0012504434213042258,0.012822461128234864
0.975,0.9575,0.006433889269828796,0.011189359426498412
0.925,0.995,0.0028468525037169457,0.010732519626617431
0.95,1.0,0.003447917476296425,0.011186420917510986
1.0,1.0,1.3479681001626887e-06,0.008177787065505981
0.975,0.9924999999999999,0.0028498183935880663,0.012590402364730835
0.975,0.9924999999999999,0.0033641286194324494,0.008868563175201415
0.95,1.0,0.002221226505935192,0.012023812532424927
1.0,1.0,0.00024494570679962636,0.012852358818054199
1.0,1.0,1.6713923832867296e-05,0.008762472867965698
0.5,0.57,0.017303934693336485,0.008885902166366578
0.625,0.6699999999999999,0.019060812890529633,0.007053798437118531
0.95,0.9825,0.01389630138874054,0.00778997540473938
0.825,0.9475,0.016263110935688017,0.006948643922805786
0.825,0.9175,0.022339384257793426,0.0073644697666168215
0.9,0.9825,0.013305027782917023,0.008873742818832398
1.0,1.0,7.753371755825356e-06,0.008794385194778442
0.85,0.9624999999999999,0.0085288405418396,0.007426565885543824
0.975,0.99,0.003476947546005249,0.008916896581649781
0.95,0.9849999999999999,0.006478205323219299,0.01016414761543274
0.975,1.0,0.0031410101801156998,0.009743762016296387
0.8,0.8999999999999999,0.011634396016597747,0.011222803592681884
1.0,1.0,1.9956636606366373e-06,0.012763005495071412
0.975,0.9974999999999999,0.005964498966932297,0.010405570268630981
0.95,0.9974999999999999,0.0020590569823980332,0.010269004106521606
0.75,0.88,0.011788954585790634,0.014047968387603759
1.0,1.0,1.441535096091684e-06,0.013376551866531371
0.95,0.9925,0.008477099984884263,0.010221046209335328
0.925,0.9725000000000001,0.01296325922012329,0.01248183250427246
0.925,0.965,0.0237718865275383,0.010396498441696166
0.925,0.9974999999999999,0.010096646845340729,0.0027422845363616944
0.85,0.8899999999999999,0.020490971207618714,0.0041240215301513675
0.725,0.7775,0.017363639175891878,0.0027322351932525637
0.6,0.6674999999999999,0.016351333260536192,0.0027560174465179445
0.925,0.9625,0.00858803242444992,0.002915680408477783
0.9,0.9525,0.007210074365139008,0.0033617794513702394
0.925,0.9550000000000001,0.008908873796463013,0.003580915927886963
0.675,0.7249999999999999,0.015336897969245911,0.003522443771362305
0.9,0.9825,0.005427469685673714,0.0026641488075256348
0.825,0.8625,0.018791842460632324,0.005139124393463135
