test_accuracy,test_score,test_average_loss,test_average_time
0.575,0.625,0.01694484055042267,0.00010451078414916993
0.475,0.465,0.01770254224538803,0.0001955270767211914
0.6,0.7175,0.016933837532997133,0.0002001166343688965
0.325,0.2775,0.01798778474330902,0.00015888810157775878
0.6,0.6575,0.01687699109315872,0.00018685460090637208
0.525,0.63,0.017063678801059724,0.00011056661605834961
0.6,0.5725,0.01691298484802246,9.759664535522461e-05
0.55,0.65,0.016819214820861815,0.00013881325721740723
0.625,0.6300000000000001,0.016904869675636293,0.00010532736778259277
0.425,0.3075,0.017921675741672517,0.00016714930534362794
0.425,0.38499999999999995,0.01744646281003952,7.03275203704834e-05
0.575,0.61,0.017269979417324065,6.698966026306153e-05
0.475,0.4175,0.020349903404712676,7.43865966796875e-05
0.575,0.5900000000000001,0.017541125416755676,0.00010152459144592285
0.475,0.4725,0.017548111081123353,6.248354911804199e-05
0.45,0.385,0.019971035420894623,6.836652755737305e-05
0.575,0.6225,0.017224323749542237,0.0001846611499786377
0.5,0.5549999999999999,0.01726849526166916,6.843209266662597e-05
0.45,0.4125,0.01934818923473358,6.4849853515625e-05
0.4,0.3775,0.017905424535274505,7.29680061340332e-05
0.375,0.37750000000000006,0.017759355902671813,0.0002286374568939209
0.65,0.655,0.016776180267333983,0.00022806525230407716
0.55,0.535,0.0172649085521698,0.00024213194847106935
0.55,0.49,0.01753031462430954,0.00026261210441589353
0.65,0.7849999999999999,0.016167572140693663,0.00026818513870239256
0.55,0.5349999999999999,0.017233701050281526,0.00023407936096191405
0.6,0.575,0.01705615222454071,0.00023122429847717286
0.575,0.69,0.016860873997211458,0.00023205876350402833
0.375,0.4525,0.017395268380641937,0.00023443102836608886
0.575,0.665,0.01690920293331146,0.0002534329891204834
0.475,0.4575,0.018346248567104338,0.00034772157669067384
0.525,0.5025,0.0174671933054924,0.0003382265567779541
0.475,0.4625,0.01875411570072174,0.0003053247928619385
0.5,0.5375,0.017324405908584594,0.0003545939922332764
0.525,0.4675,0.01884414553642273,0.00028284788131713865
0.425,0.385,0.017386166751384734,0.00028571486473083496
0.525,0.635,0.017299607396125793,0.00029550790786743165
0.45,0.38749999999999996,0.020384612679481506,0.00027994513511657714
0.525,0.4325,0.017357560992240905,0.00030564069747924806
0.575,0.5700000000000001,0.017540034651756287,0.0002911984920501709
0.6,0.635,0.01654530465602875,0.00020759105682373048
0.675,0.7225,0.01566884070634842,0.00021260380744934083
0.6,0.6325000000000001,0.01985015571117401,0.00016682744026184083
0.55,0.55,0.017585937678813935,0.00023230910301208496
0.45,0.4625,0.01798006594181061,0.00021408796310424806
0.6,0.635,0.016924917697906494,0.00016599297523498536
0.525,0.585,0.017133834958076476,0.00017308592796325684
0.45,0.5675,0.016779717803001405,0.00016883015632629395
0.45,0.49000000000000005,0.017675112187862396,0.00016689896583557128
0.55,0.5249999999999999,0.017369525134563447,0.00016621947288513183
