test_accuracy,test_score,test_average_loss,test_average_time
0.5,0.46,0.017462180554866792,0.00027487277984619143
0.65,0.6375,0.016955767571926118,0.00026881098747253416
0.625,0.615,0.016757771372795105,0.0002847015857696533
0.675,0.6299999999999999,0.017134591937065125,0.0002720355987548828
0.5,0.4675,0.017397277057170868,0.0002699434757232666
0.575,0.595,0.0173038586974144,0.0002681970596313477
0.55,0.5549999999999999,0.017269648611545563,0.0003237426280975342
0.65,0.6475000000000001,0.016987940669059752,0.0003133416175842285
0.5,0.515,0.017322206497192384,0.00026807188987731934
0.525,0.615,0.016928617656230927,0.0002690494060516357
0.525,0.5325,0.017325811088085175,0.00036889910697937014
0.575,0.62,0.017243090271949767,0.000356757640838623
0.625,0.6600000000000001,0.016984234750270843,0.0003531455993652344
0.325,0.24000000000000002,0.017466636002063753,0.00033505558967590333
0.6,0.6275000000000001,0.017077650129795074,0.00034579038619995115
0.65,0.6749999999999999,0.0172163650393486,0.00035309791564941406
0.525,0.5774999999999999,0.01726851910352707,0.00033248066902160647
0.525,0.5625,0.017181350290775298,0.00032827258110046387
0.625,0.7575000000000001,0.01673349291086197,0.0003593742847442627
0.675,0.6625000000000001,0.016373471915721895,0.0003607630729675293
0.6,0.575,0.017457543313503264,0.0006769955158233643
0.475,0.51,0.017240010201931,0.0006709575653076171
0.525,0.605,0.01704041063785553,0.0006697356700897216
0.5,0.5149999999999999,0.01731967031955719,0.0006683528423309326
0.525,0.49,0.01735203117132187,0.0006698369979858398
0.5,0.5650000000000001,0.017338398098945617,0.0006697535514831543
0.55,0.54,0.01741158068180084,0.0006672859191894532
0.525,0.665,0.017247137427330018,0.0006695270538330078
0.525,0.5325,0.017854078114032744,0.0006690084934234619
0.475,0.6,0.017000891268253326,0.0006686210632324219
0.55,0.49250000000000005,0.01736397445201874,0.0003396809101104736
0.5,0.5375,0.01732770949602127,0.00033746957778930665
0.45,0.41,0.018009641766548158,0.00039662718772888185
0.425,0.4075,0.017940416932106018,0.0003383398056030273
0.425,0.4425,0.01848084628582001,0.00035176873207092284
0.45,0.4475,0.019251927733421326,0.0003399372100830078
0.6,0.5700000000000001,0.01732315570116043,0.0003654360771179199
0.525,0.48,0.018561002612113953,0.00034536123275756835
0.55,0.47750000000000004,0.018928101658821105,0.00037090182304382323
0.5,0.48,0.017329034209251405,0.00033968687057495117
0.4,0.42250000000000004,0.01854616552591324,0.00015856027603149413
0.525,0.52,0.017651942372322083,0.00012288689613342284
0.5,0.5125,0.01750911623239517,0.00017933845520019532
0.55,0.615,0.016974969208240508,0.00011903047561645508
0.475,0.5625,0.017914004623889923,0.0001200258731842041
0.375,0.2675,0.018243762850761413,0.00011882781982421874
0.575,0.6425000000000001,0.016745467483997346,0.00012131929397583008
0.5,0.47500000000000003,0.017529085278511047,0.00011921525001525878
0.525,0.5725,0.017106389999389647,0.0001182854175567627
0.475,0.355,0.01797735393047333,0.00012095570564270019
0.425,0.395,0.01910119503736496,0.00035540461540222167
