test_accuracy,test_score,test_average_loss,test_average_time
0.975,1.0,0.0004926932975649834,0.0013328969478607177
1.0,1.0,3.136683233151416e-08,0.0012834131717681884
1.0,1.0,5.77299389988184e-05,0.0012628257274627686
0.975,1.0,0.007879775762557984,0.0012818217277526856
1.0,1.0,2.2724252346506547e-08,0.0013061046600341796
1.0,1.0,2.9355214792303742e-08,0.001308363676071167
0.975,1.0,0.005709204077720642,0.0012672364711761475
1.0,1.0,1.6987311823868368e-08,0.0017285168170928956
0.975,1.0,0.0026769613847136497,0.0012571275234222411
1.0,1.0,0.00013171929167583586,0.0013843953609466552
0.975,1.0,0.004075049608945847,0.009986108541488648
0.975,1.0,0.0008912079967558384,0.010138016939163209
1.0,1.0,1.7700369426165707e-06,0.010509777069091796
1.0,1.0,2.4214222094087744e-08,0.010846090316772462
1.0,1.0,0.0001927342265844345,0.01200408935546875
1.0,1.0,0.00016687652096152305,0.01030813455581665
1.0,1.0,0.0007104440592229366,0.009827762842178345
1.0,1.0,3.0621666269325945e-08,0.010063385963439942
0.975,1.0,0.002150350995361805,0.009915298223495484
0.975,1.0,0.001984083466231823,0.009958350658416748
0.95,0.9974999999999999,0.0016829565167427063,0.0012030720710754395
0.975,0.9974999999999999,0.0015431943349540234,0.0011662542819976807
1.0,1.0,0.00023808830883353949,0.0011238813400268554
1.0,1.0,0.0001072584418579936,0.001366811990737915
1.0,1.0,0.00039410050958395005,0.00159185528755188
1.0,1.0,0.0006090225651860237,0.0010841310024261475
1.0,1.0,0.0001558035262860358,0.0015771269798278808
0.95,0.9974999999999999,0.0015830377116799355,0.001198655366897583
1.0,1.0,0.00042002019472420216,0.0011162936687469482
0.975,1.0,0.0008618751540780068,0.0011367976665496826
0.975,1.0,0.00576912984251976,0.007061225175857544
1.0,1.0,1.7971664783544837e-05,0.008795779943466187
0.975,1.0,0.0007706299424171448,0.007227754592895508
1.0,1.0,6.983753992244602e-05,0.00927167534828186
0.975,1.0,0.0020080482587218284,0.007138043642044067
0.975,0.995,0.007251736521720886,0.007323789596557617
1.0,1.0,3.1962977686816886e-08,0.007137084007263183
1.0,1.0,2.4914600089687155e-07,0.006903690099716186
1.0,1.0,0.00020860261283814908,0.007327997684478759
1.0,1.0,4.918321064906195e-06,0.008847033977508545
0.975,1.0,0.006463263928890228,0.0013009488582611084
1.0,1.0,3.5991586628369985e-06,0.0012678205966949463
0.975,0.995,0.004517530277371407,0.0017466843128204346
0.975,1.0,0.006014484167098999,0.0017289280891418456
0.975,0.9974999999999999,0.007071664184331894,0.0012066185474395752
0.95,0.9974999999999999,0.006083564087748528,0.0013605058193206787
0.95,1.0,0.009525104612112045,0.0012557148933410645
1.0,1.0,4.44005818280857e-06,0.001238870620727539
0.975,1.0,0.0024003120139241218,0.0012368083000183106
1.0,1.0,2.9138986974430735e-07,0.0013078153133392334
