test_accuracy,test_score,test_average_loss,test_average_time
0.9,0.955,0.006691667437553406,0.00014110207557678224
0.925,0.9875,0.0051298320293426515,0.00011865496635437012
0.8,0.93,0.008866442739963532,0.00022559165954589845
0.95,0.97,0.006207234784960746,0.00012232065200805663
0.85,0.955,0.006834247708320617,0.00021986961364746095
0.925,0.9775,0.006271158158779144,0.0001420736312866211
0.875,0.9425,0.007675701379776001,0.00019559264183044434
0.85,0.9625,0.006317589432001114,0.00012375712394714357
0.875,0.9475,0.006758196651935578,0.00011725425720214844
0.875,0.97,0.006092654541134834,0.00020221471786499023
0.825,0.9275,0.010381112992763519,0.00025434494018554686
0.775,0.9,0.011898903548717499,0.00025989413261413575
0.7,0.9099999999999999,0.012191299349069595,0.00025805234909057615
0.825,0.9375,0.010889921337366104,0.00025873184204101564
0.8,0.9375,0.010225588083267212,0.00025871992111206057
0.8,0.955,0.009623660147190094,0.00031147003173828127
0.775,0.9575,0.008514924347400666,0.0002533078193664551
0.825,0.9125,0.011197658628225327,0.0002542555332183838
0.9,0.9725,0.006699658185243607,0.00025787949562072754
0.8,0.8725,0.01172671914100647,0.0002532660961151123
0.9,0.9075,0.012368333339691163,0.00021107196807861327
0.925,0.9775,0.011014814674854278,0.0002724349498748779
0.925,0.9924999999999999,0.010472410917282104,0.0002264857292175293
0.9,0.9924999999999999,0.01159607172012329,0.00021295547485351564
0.925,0.9725,0.010864441096782685,0.00021086931228637696
0.925,0.99,0.009966275840997695,0.00024143457412719726
0.875,0.965,0.010195918381214142,0.0002132713794708252
0.9,0.9675,0.011365179717540742,0.00026276707649230957
0.925,0.98,0.01061774268746376,0.0002074301242828369
0.9,0.9750000000000001,0.010435047000646592,0.00020699501037597657
1.0,1.0,0.0035517342388629914,0.00010917186737060546
0.95,1.0,0.003285318613052368,0.00012785792350769042
1.0,1.0,0.003927934169769287,0.0001949310302734375
0.95,0.995,0.004510099068284035,0.00011863112449645996
0.95,0.985,0.004795795679092408,0.0001298964023590088
0.95,1.0,0.004457550123333931,0.00011693239212036133
0.925,0.9875,0.004712259769439698,0.00015692710876464845
1.0,1.0,0.0029091984033584595,0.00011605024337768555
1.0,1.0,0.004202157631516457,0.00012583732604980468
1.0,1.0,0.0036899995058774946,0.0001905977725982666
0.975,1.0,0.002334642969071865,0.00026378631591796877
0.975,1.0,0.001949773170053959,0.0002679288387298584
0.975,0.995,0.0025984326377511023,0.0002846837043762207
0.925,0.9875,0.0038978222757577894,0.00026066899299621583
0.95,0.9974999999999999,0.002064383402466774,0.0002624094486236572
0.95,0.99,0.003335283696651459,0.0002642631530761719
1.0,1.0,0.002463999018073082,0.0003147125244140625
1.0,1.0,0.0015012515708804131,0.00031204819679260255
0.95,0.9974999999999999,0.0030084773898124695,0.0002774477005004883
0.975,1.0,0.0015350811183452607,0.0002617359161376953
