test_accuracy,test_score,test_average_loss,test_average_time
0.6,0.6875,0.017351722717285155,0.0003217458724975586
0.575,0.65,0.017525936663150787,0.0003144383430480957
0.5,0.52875,0.01798722743988037,0.0003124535083770752
0.55,0.6675,0.017645889520645143,0.0003311455249786377
0.65,0.6624999999999999,0.017500467598438263,0.0003218531608581543
0.45,0.4875,0.0203463152050972,0.0003119051456451416
0.5,0.6675,0.018186590075492857,0.000316166877746582
0.55,0.5875,0.017965430021286012,0.0003199577331542969
0.5,0.6425000000000001,0.01790154129266739,0.0003166675567626953
0.5,0.635,0.017905324697494507,0.0003237724304199219
0.5,0.5625,0.017978063225746153,0.0003134787082672119
0.575,0.5325,0.01816968321800232,0.00031298398971557617
0.575,0.5075000000000001,0.018935370445251464,0.00032582879066467285
0.5,0.58625,0.01801016628742218,0.00031464099884033204
0.5,0.5025000000000001,0.0179950475692749,0.00032190084457397463
0.5,0.4725,0.01799429804086685,0.00033542513847351074
0.425,0.465,0.018365539610385895,0.0003174483776092529
0.6,0.68,0.01755215525627136,0.0003171861171722412
0.55,0.505,0.01795608550310135,0.0003208279609680176
0.4,0.5449999999999999,0.018032267689704895,0.000316309928894043
0.475,0.475,0.01852059066295624,0.00031478404998779296
0.5,0.43500000000000005,0.01800828129053116,0.0003144681453704834
0.5,0.6475,0.01784766763448715,0.0003134608268737793
0.55,0.5149999999999999,0.017912861704826356,0.0003175675868988037
0.5,0.38750000000000007,0.017998242378234865,0.0003111004829406738
0.4,0.5225,0.01808789074420929,0.0003123223781585693
0.525,0.6525000000000001,0.018083329498767852,0.00031809210777282714
0.525,0.5499999999999999,0.01797538995742798,0.00031284689903259276
0.425,0.43249999999999994,0.01902345269918442,0.00031831264495849607
0.5,0.4975,0.017998725175857544,0.0003182113170623779
0.5,0.43000000000000005,0.01799626648426056,0.0003205776214599609
0.55,0.375,0.01799701601266861,0.00031342506408691404
0.4,0.4475,0.020266012847423555,0.0003204643726348877
0.5,0.5475,0.017993703484535217,0.00031688809394836426
0.55,0.48000000000000004,0.017992813885211945,0.00031111240386962893
0.475,0.6125,0.018005158007144927,0.00031307339668273926
0.5,0.44,0.01799076795578003,0.00032228827476501467
0.45,0.4825,0.021952611207962037,0.0003129243850708008
0.425,0.42,0.01892921030521393,0.00031362175941467284
0.425,0.37,0.018320129811763765,0.00033730268478393555
0.5,0.4325,0.018001528084278108,0.00031348466873168943
0.5,0.6975,0.017985522747039795,0.00031159520149230956
0.5,0.54125,0.017993152141571045,0.0003155827522277832
0.5,0.5325,0.01799781322479248,0.0003113090991973877
0.45,0.43,0.018325503170490264,0.00031870603561401367
0.5,0.35750000000000004,0.018015266954898836,0.0003105342388153076
0.5,0.545,0.0180589497089386,0.0003150641918182373
0.5,0.4425,0.017997725307941435,0.0003172934055328369
0.5,0.51,0.020052054524421693,0.00032157301902771
0.6,0.5475000000000001,0.018072354793548583,0.0003129482269287109
