test_accuracy,test_score,test_average_loss,test_average_time
0.525,0.605,0.016892990469932555,0.0018168926239013673
0.675,0.7225,0.0156182199716568,0.0013795018196105957
0.525,0.5075,0.017670005559921265,0.0013396859169006348
0.5,0.61,0.017368918657302855,0.0014411330223083497
0.475,0.4675,0.01838257610797882,0.0014457523822784424
0.575,0.61,0.02228853702545166,0.0013962626457214356
0.625,0.6399999999999999,0.016930413246154786,0.0014221370220184326
0.65,0.6849999999999999,0.01688009798526764,0.0013560414314270019
0.5,0.5599999999999999,0.017307499051094057,0.0013535201549530029
0.55,0.5725,0.016943535208702086,0.001320040225982666
0.7,0.78,0.01393006145954132,0.007342177629470825
0.8,0.8825000000000001,0.013671486079692841,0.007527178525924683
0.875,0.9775,0.020234236121177675,0.007301753759384156
0.65,0.7050000000000001,0.015818819403648376,0.008867907524108886
0.65,0.6875,0.016547708213329314,0.007897889614105225
0.95,0.9724999999999999,0.004745503515005111,0.007541924715042114
0.625,0.6849999999999999,0.016152597963809967,0.007744699716567993
0.6,0.645,0.016872939467430115,0.007837074995040893
0.95,0.9925,0.010632941871881485,0.00753052830696106
0.925,0.975,0.009782282263040542,0.007390427589416504
0.85,0.9299999999999999,0.011464794725179672,0.005153298377990723
0.975,1.0,0.003570222109556198,0.003933149576187134
0.9,0.9724999999999999,0.007195273041725158,0.004019534587860108
0.9,0.99,0.005807720497250557,0.0038838088512420654
1.0,1.0,0.000584403146058321,0.004033207893371582
0.925,0.9849999999999999,0.006201455742120743,0.004104781150817871
0.925,0.9925,0.0043002072721719745,0.003961032629013062
0.975,0.975,0.0035033751279115676,0.0040764927864074705
0.875,0.945,0.008471718430519104,0.00400659441947937
0.825,0.8675,0.022685834765434267,0.003958868980407715
0.725,0.815,0.017002102732658387,0.005510926246643066
0.925,0.9925,0.004852450266480446,0.005686038732528686
0.8,0.9025000000000001,0.010070250183343888,0.005708247423171997
0.775,0.785,0.03693665266036987,0.005436444282531738
0.825,0.935,0.011333678662776948,0.0065787434577941895
0.6,0.615,0.021587009727954864,0.005737239122390747
0.95,0.9849999999999999,0.005092675611376762,0.005478334426879883
0.55,0.625,0.01739872097969055,0.005967825651168823
0.55,0.5075000000000001,0.027698081731796265,0.005700886249542236
0.8,0.9075,0.027020102739334105,0.005759638547897339
0.8,0.9075,0.01818293035030365,0.00514727234840393
0.9,0.9525000000000001,0.019439281523227693,0.0054710149765014645
0.85,0.9124999999999999,0.017221042513847352,0.0051057875156402584
0.825,0.9375,0.01334388554096222,0.005231130123138428
0.55,0.5825,0.01722767800092697,0.005327105522155762
1.0,1.0,0.00046555744484066963,0.005147784948348999
0.5,0.55,0.017526930570602416,0.005042213201522827
0.975,1.0,0.0018165979534387588,0.005269181728363037
0.975,0.995,0.004934975504875183,0.0052450597286224365
0.875,0.985,0.007674166560173034,0.005228960514068603
